Participant,Order_1,Order_2,Order_3,Order_4,Order_5,Order_6,Order_7,Order_8,Order_9,Order_10,Order_11,Order_12,Order_13,Order_14,Order_15,Order_16
Participant_1,1_N_Stimuli1,2_N_Stimuli11,3_N_Stimuli3,4_N_Stimuli16,5_N_Stimuli6,6_N_Stimuli15,7_N_Stimuli8,8_N_Stimuli7,9_N_Stimuli14,10_N_Stimuli4,11_N_Stimuli12,12_N_Stimuli2,13_N_Stimuli9,14_N_Stimuli13,15_N_Stimuli5,16_N_Stimuli10
Participant_2,1_N_Stimuli15,2_N_Stimuli13,3_N_Stimuli4,4_N_Stimuli5,5_N_Stimuli11,6_N_Stimuli6,7_N_Stimuli7,8_N_Stimuli16,9_N_Stimuli3,10_N_Stimuli14,11_N_Stimuli1,12_N_Stimuli10,13_N_Stimuli12,14_N_Stimuli2,15_N_Stimuli8,16_N_Stimuli9
Participant_3,1_N_Stimuli2,2_N_Stimuli10,3_N_Stimuli5,4_N_Stimuli1,5_N_Stimuli7,6_N_Stimuli15,7_N_Stimuli12,8_N_Stimuli3,9_N_Stimuli16,10_N_Stimuli8,11_N_Stimuli4,12_N_Stimuli6,13_N_Stimuli13,14_N_Stimuli9,15_N_Stimuli14,16_N_Stimuli11
Participant_4,1_N_Stimuli15,2_N_Stimuli8,3_N_Stimuli1,4_N_Stimuli7,5_N_Stimuli6,6_N_Stimuli12,7_N_Stimuli9,8_N_Stimuli10,9_N_Stimuli4,10_N_Stimuli16,11_N_Stimuli5,12_N_Stimuli13,13_N_Stimuli11,14_N_Stimuli14,15_N_Stimuli3,16_N_Stimuli2
Participant_5,1_N_Stimuli8,2_N_Stimuli6,3_N_Stimuli3,4_N_Stimuli2,5_N_Stimuli13,6_N_Stimuli5,7_N_Stimuli15,8_N_Stimuli10,9_N_Stimuli14,10_N_Stimuli11,11_N_Stimuli4,12_N_Stimuli1,13_N_Stimuli7,14_N_Stimuli9,15_N_Stimuli12,16_N_Stimuli16
Participant_6,1_N_Stimuli1,2_N_Stimuli11,3_N_Stimuli14,4_N_Stimuli12,5_N_Stimuli8,6_N_Stimuli4,7_N_Stimuli2,8_N_Stimuli15,9_N_Stimuli7,10_N_Stimuli9,11_N_Stimuli3,12_N_Stimuli6,13_N_Stimuli10,14_N_Stimuli16,15_N_Stimuli13,16_N_Stimuli5
Participant_7,1_N_Stimuli12,2_N_Stimuli6,3_N_Stimuli10,4_N_Stimuli4,5_N_Stimuli15,6_N_Stimuli3,7_N_Stimuli16,8_N_Stimuli9,9_N_Stimuli8,10_N_Stimuli7,11_N_Stimuli1,12_N_Stimuli11,13_N_Stimuli2,14_N_Stimuli14,15_N_Stimuli13,16_N_Stimuli5
Participant_8,1_N_Stimuli13,2_N_Stimuli9,3_N_Stimuli4,4_N_Stimuli1,5_N_Stimuli12,6_N_Stimuli11,7_N_Stimuli6,8_N_Stimuli10,9_N_Stimuli15,10_N_Stimuli8,11_N_Stimuli14,12_N_Stimuli5,13_N_Stimuli2,14_N_Stimuli16,15_N_Stimuli3,16_N_Stimuli7
Participant_9,1_N_Stimuli7,2_N_Stimuli12,3_N_Stimuli1,4_N_Stimuli5,5_N_Stimuli10,6_N_Stimuli8,7_N_Stimuli2,8_N_Stimuli13,9_N_Stimuli4,10_N_Stimuli3,11_N_Stimuli11,12_N_Stimuli14,13_N_Stimuli9,14_N_Stimuli16,15_N_Stimuli6,16_N_Stimuli15
Participant_10,1_N_Stimuli15,2_N_Stimuli11,3_N_Stimuli16,4_N_Stimuli9,5_N_Stimuli6,6_N_Stimuli1,7_N_Stimuli5,8_N_Stimuli14,9_N_Stimuli12,10_N_Stimuli13,11_N_Stimuli2,12_N_Stimuli8,13_N_Stimuli10,14_N_Stimuli3,15_N_Stimuli7,16_N_Stimuli4
